"ProblemID","RoundID","PS_Link","Contestants","Registrants","SuccessfulContestants","machine_learning","improve","target","data_type","data_external","task_type","submission_type","scoring_type","provisional_testing","system_vs_provisional","prize_nonmonetary","prize_threshold","data_volume","engagement_barrier","scoring_complexity","prize_pool","prize_extras","prize_number","prize_first","NumRounds","FirstSubmissionTime","Experience","ContestNoise"
7542,10757,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10757&pm=7542",41,42,41,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,3.,1.5,0.,0.,0.,0.,2,3385921598,589,0.07249375045801539
7542,10758,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10758&pm=7542",29,30,24,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,3.,1.5,0.,0.,0.,0.,2,3385921598,572,0.07249375045801539
7545,10732,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10732&pm=7545",445,445,435,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,2,3383482819,2101,0.024898813509807792
7545,10733,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10733&pm=7545",30,31,28,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,2,3383482819,1694,0.024898813509807792
7548,10722,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10722&pm=7548",532,533,405,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,2,3382282618,1676,0.033504747030836855
7548,10723,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10723&pm=7548",21,22,5,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,2,3382282618,1276,0.033504747030836855
7604,10747,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10747&pm=7604",171,171,168,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,2,3384696179,1384,0.03258648205649428
7604,10748,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10748&pm=7604",42,43,38,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,2,3384696179,1254,0.03258648205649428
7789,10815,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10815&pm=7789",281,284,266,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,1.,2.,0.,0.,0.,0.,1,3388324103,1169,0.01744968088396607
7861,10500,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10500&pm=7861",363,363,341,"2-No","2-No","1-Quality","4-Text","2-No","3-Optimization","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3395581977,1353,0.017204966616610945
7874,10834,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10834&pm=7874",176,184,127,"2-No","2-No","2-Resource or Both","4-Text","1-Yes","1-Exploration","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",2.,2.,2.,5000.,0.,10.,750.,1,3390757723,915,0.036578483752076084
7892,10845,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10845&pm=7892",8,8,8,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,3.,2.,0.,0.,0.,0.,1,3391951421,93,0.126483550374974
7972,10848,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10848&pm=7972",49,49,47,"2-No","2-No","2-Resource or Both","4-Text","1-Yes","1-Exploration","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",2.,2.,2.,0.,0.,0.,0.,1,3391985839,522,0.022465112705652244
7993,10859,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10859&pm=7993",179,182,170,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3393161475,969,0.01565959895652134
8024,10860,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10860&pm=8024",89,90,78,"2-No","2-No","2-Resource or Both","2-Image","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3395587291,620,0.06391010522258911
8053,10501,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10501&pm=8053",251,251,227,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3396789091,1298,0.01616907365011819
8100,10862,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10862&pm=8100",117,118,110,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3397999492,845,0.03009004538452671
8102,10861,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10861&pm=8102",101,104,99,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,1.,1.,0.,0.,0.,0.,1,3396791638,796,0.21374294195586413
8113,10929,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10929&pm=8113",352,553,306,"2-No","2-No","1-Quality","0-No data","2-No","4-Inference","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3399812501,1650,0.009494424047068581
8168,10930,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10930&pm=8168",69,363,52,"2-No","2-No","1-Quality","5-Other","2-No","3-Optimization","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,3.,2.,15000.,0.,10.,7000.,1,3401037558,522,0.03370613050910994
8176,10502,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10502&pm=8176",83,83,81,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3398001988,687,0.04212116784536836
8281,10931,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10931&pm=8281",168,347,139,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,1.,1.,0.,0.,0.,0.,1,3403449057,964,0.006345948100652189
8285,10981,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10981&pm=8285",8,8,8,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3402827023,109,0.018569856024922563
8426,10932,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10932&pm=8426",324,441,292,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,1.,1.,0.,0.,0.,0.,1,3405259737,1618,0.007171851067274839
8433,10933,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10933&pm=8433",115,227,96,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3406471129,805,0.03692285956984711
8472,12198,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12198&pm=8472",55,152,31,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3416186332,399,0.015699069885836768
8562,11133,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11133&pm=8562",100,308,71,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3408968459,685,0.09269830677306498
8579,11130,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11130&pm=8579",617,703,582,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.5,0.,0.,0.,0.,2,3410702084,3833,0.016936475700908983
8579,11134,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11134&pm=8579",69,170,46,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.5,0.,0.,0.,0.,2,3410702084,3297,0.016936475700908983
8604,12200,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12200&pm=8604",57,321,38,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3418602550,404,0.02848530896712356
8632,11131,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11131&pm=8632",267,270,263,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.5,0.,0.,0.,0.,2,3411911801,2615,0.038339686639203535
8632,11135,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11135&pm=8632",57,139,45,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.5,0.,0.,0.,0.,2,3411911801,2397,0.038339686639203535
8671,11136,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11136&pm=8671",146,303,124,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3413124271,736,0.07195597874693306
8674,11132,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11132&pm=8674",93,93,90,"2-No","2-No","1-Quality","2-Image","2-No","4-Inference","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",2.,2.,2.,0.,0.,0.,0.,1,3413127753,1189,0.01910531525630921
8708,12166,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12166&pm=8708",128,303,100,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3414340469,1014,0.5031127292996427
8737,12203,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12203&pm=8737",119,284,105,"2-No","2-No","1-Quality","2-Image","2-No","6-Segmentation","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3425213865,715,0.005603712555636871
8747,12199,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12199&pm=8747",90,238,70,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3417370063,669,0.03552151251155205
8816,12020,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12020&pm=8816",12,12,12,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.5,2.,0.,0.,0.,0.,1,3419599557,216,0.0437143901095889
9714,12167,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12167&pm=9714",70,416,55,"2-No","2-No","1-Quality","0-No data","2-No","1-Exploration","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3420379521,757,0.05177772654734103
9763,13499,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13499&pm=9763",75,372,52,"1-Yes","2-No","1-Quality","1-Regular","2-No","7-Prediction","1-Code","1-Absolute","2-TC preferred","2-Different","2-No","2-No",2.,2.,1.,0.,0.,0.,0.,1,3421758660,368,0.503992823572363
9795,12201,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12201&pm=9795",285,415,255,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3422190554,1443,0.03224280992326647
9798,12202,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12202&pm=9798",228,382,182,"2-No","2-No","1-Quality","4-Text","2-No","1-Exploration","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3423226622,1556,0.1830848281200879
9854,14455,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=14455&pm=9854",63,301,46,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3501430358,460,0.030136314271071787
9888,12204,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12204&pm=9888",108,298,75,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3426445627,552,0.039020692525892624
9906,13564,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13564&pm=9906",162,323,130,"2-No","2-No","1-Quality","4-Text","2-No","1-Exploration","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",2.,2.,1.,0.,0.,0.,0.,1,3428237348,1021,0.025830161882682525
10014,13565,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13565&pm=10014",89,210,67,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3429468219,505,0.14519738927950218
10032,13709,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13709&pm=10032",111,250,95,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3442762335,794,0.03068180501273714
10034,14354,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=14354&pm=10034",106,282,75,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3491146351,676,0.018681816574975203
10043,13636,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13636&pm=10043",52,158,43,"2-No","1-Yes","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,3.,2.,0.,0.,0.,0.,1,3430057923,560,0.07682303238661616
10056,13566,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13566&pm=10056",63,178,37,"2-No","2-No","1-Quality","2-Image","2-No","1-Exploration","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.5,0.,0.,0.,0.,1,3430672843,351,0.07528226745689914
10119,13567,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13567&pm=10119",59,179,54,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3433083492,469,0.12269516523223929
10147,13568,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13568&pm=10147",42,150,26,"2-No","2-No","1-Quality","2-Image","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3434288189,318,0.02383961221003555
10201,13569,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13569&pm=10201",105,294,69,"2-No","2-No","1-Quality","0-No data","2-No","1-Exploration","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,1.,5000.,0.,5.,2500.,1,3436128681,599,0.32846441013437355
10202,13722,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13722&pm=10202",120,232,102,"2-No","2-No","2-Resource or Both","2-Image","2-No","3-Optimization","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3438619908,1036,0.1906942392562377
10227,13570,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13570&pm=10227",138,282,103,"2-No","2-No","1-Quality","0-No data","2-No","1-Exploration","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,3.,2.,5000.,0.,5.,2500.,1,3437316906,912,0.04717007027863391
10242,13679,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13679&pm=10242",106,236,71,"2-No","2-No","1-Quality","4-Text","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,1.,5000.,0.,5.,2500.,1,3437953396,604,0.11496298027156478
10276,13680,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13680&pm=10276",139,235,114,"2-No","2-No","1-Quality","4-Text","2-No","3-Optimization","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,2500.,0.,2.5,1250.,1,3439757794,1091,0.022702205729681155
10293,13681,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13681&pm=10293",146,263,78,"2-No","2-No","1-Quality","0-No data","2-No","1-Exploration","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,5000.,0.,5.,2500.,1,3440959896,912,0.16660824065087662
10313,13754,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13754&pm=10313",100,218,81,"1-Yes","2-No","1-Quality","1-Regular","2-No","7-Prediction","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",2.,3.,2.,5000.,0.,5.,2500.,1,3443879049,461,0.1842752209499073
10322,13710,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13710&pm=10322",23,84,14,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,2,3444572827,3045,0.11100053247669463
10322,13766,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13766&pm=10322",420,510,405,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,2,3444572827,3436,0.11100053247669463
