"stratum","round_id","coder_id","handle","point_total","num_submissions","attended","system_point_total","placed","old_rating","new_rating","old_vol","new_vol","rated_ind","advanced","provisional_placed","num_ratings","contestants_above","contestants_below","contestants_equal","sys_pos_percentile","first_pos_sub_time","last_pos_sub_time","contest_num","newcomer","Number_of_positive_subm","Number_of_complexities","Complexity_First","Complexity_Last","Complexity_Mean"
4.,13795,21990198,"alecn2002",33.57,3,"Y",327.38,84,1077,1053,373,337,1,"N",84,23,83,33,0,28.448275862068968,3450282245,3450855260,24,"False",3,3,76,142,117.66666666666667
4.,11136,22635428,"tstan436",57.76,14,"Y",287.75,22,1145,1245,290,320,1,"N",31,12,21,102,0,82.92682926829268,3413413945,3414291655,10,"False",11,11,48,66,65.81818181818181
4.,13795,22635428,"tstan436",58.4,1,"Y",579.5,54,1325,1313,264,237,1,"N",51,17,53,63,0,54.310344827586206,3450409421,3450409421,15,"False",1,1,56,56,56.
4.,11136,22660509,"Kerzenlicht",57.48,12,"Y",247.59,57,1237,1251,318,263,1,"N",32,3,56,67,0,54.47154471544715,3413203963,3414316225,3,"False",12,0,"","",""
4.,13795,22660509,"Kerzenlicht",76.09,13,"Y",755.15,22,1152,1256,201,259,1,"N",20,8,21,95,0,81.89655172413794,3450180341,3451193576,7,"False",13,2,"","",70.
4.,11136,22675206,"edunov",59.58,3,"Y",283.24,24,1339,1405,321,304,1,"N",23,7,23,100,0,81.30081300813008,3413249072,3414143776,7,"False",3,3,48,203,132.
4.,14354,22675206,"edunov",98.86,13,"Y",991.02,1,1591,1770,364,483,1,"N",1,20,0,74,0,100.,3491146351,3492328392,21,"False",13,13,41,215,143.23076923076923
4.,11136,22694152,"rugila",55.31,4,"Y",245.12,65,1541,1467,152,189,1,"N",41,8,64,59,0,47.96747967479675,3413195057,3414329451,8,"False",4,4,40,223,121.25
4.,14354,22694152,"rugila",79.91,2,"Y",792.43,26,1653,1631,268,244,1,"N",26,23,25,49,0,66.21621621621621,3492098156,3492338279,24,"False",2,2,99,143,121.
4.,13795,22694152,"rugila",79.86,5,"Y",785.25,14,1498,1554,239,239,1,"N",11,15,13,103,0,88.79310344827587,3450814243,3451211538,16,"False",5,5,63,114,91.8
4.,11136,22713340,"MarkByers",73.85,23,"Y",341.82,2,1208,1514,315,516,1,"N",2,3,1,122,0,99.1869918699187,3413219097,3414265371,3,"False",23,23,11,122,67.69565217391305
4.,13795,22713340,"MarkByers",39.43,3,"Y",384.18,78,1822,1669,317,403,1,"N",79,11,77,39,0,33.62068965517241,3450246772,3450448512,12,"False",3,3,44,103,76.33333333333333
5.,13923,8436045,"rballman",2760.74,3,"Y",27556.1,40,1049,1136,328,338,1,"N",49,15,39,70,0,64.22018348623854,3457834680,3458257928,21,"False",3,3,177,282,229.33333333333334
5.,14455,8436045,"rballman",17.69,2,"Y",175.61,33,1034,1057,248,227,1,"N",33,24,32,13,0,28.888888888888886,3501872006,3502373805,31,"False",2,2,26,297,161.5
5.,13923,13274356,"kishore_g84",2517.46,4,"Y",25669.63,75,1406,1348,307,299,1,"N",78,25,74,35,0,32.11009174311927,3457399064,3457826609,31,"False",4,4,150,198,186.75
5.,14455,13274356,"kishore_g84",61.02,6,"Y",598.26,16,1472,1488,272,247,1,"N",15,37,15,30,0,66.66666666666666,3501739425,3502040354,44,"False",6,6,126,139,156.66666666666666
5.,12204,13274356,"kishore_g84",36.62,9,"Y",340.81,43,1075,1122,309,289,1,"N",41,14,42,32,0,43.24324324324324,3426629910,3427588695,18,"False",9,9,66,216,146.55555555555554
5.,13709,13274356,"kishore_g84",6.33,1,"Y",130.21,82,1203,1148,272,266,1,"N",83,18,81,13,0,13.829787234042554,3443464864,3443464864,22,"False",1,1,39,39,39.
5.,13923,15781032,"brajeshlkw",2772.19,18,"Y",26986.28,69,1577,1502,262,283,1,"N",23,51,68,41,0,37.61467889908257,3457681955,3458402117,62,"False",18,0,"","",""
5.,14455,15781032,"brajeshlkw",66.57,13,"Y",658.79,12,1560,1575,209,191,1,"N",12,65,11,34,0,75.55555555555556,3501858458,3502367996,81,"False",13,0,"","",""
5.,12204,15781032,"brajeshlkw",63.86,25,"Y",647.49,19,1353,1414,212,228,1,"N",22,36,18,56,0,75.67567567567568,3426493875,3427562818,43,"False",25,0,"","",""
5.,13709,15781032,"brajeshlkw",58.64,19,"Y",1184.42,24,1381,1432,280,273,1,"N",28,46,23,71,0,75.53191489361703,3442807652,3443959205,54,"False",19,0,"","",""
5.,13923,15795618,"linubik",2718.61,11,"Y",27266.71,63,1019,1051,379,343,1,"N",66,14,62,47,0,43.11926605504588,3457699454,3458455502,10,"False",11,11,64,175,136.36363636363637
5.,13709,15795618,"linubik",0,1,"Y",3.27,95,810,752,306,290,1,"N",96,9,"","","","","","","","","","","","",""
5.,13923,16064986,"ctrucza",2309.87,6,"Y",21295.73,91,1235,1164,201,230,1,"N",86,23,90,19,0,17.431192660550458,3457377456,3458459243,29,"False",6,6,57,279,210.
5.,12204,16064986,"ctrucza",2.51,3,"Y",27.7,75,1140,1084,286,277,1,"N",74,15,74,0,0,0.,3427371271,3427615774,19,"False",3,3,49,49,64.66666666666667
5.,13709,16064986,"ctrucza",35.21,1,"Y",641.25,50,1208,1233,245,225,1,"N",50,21,49,45,0,47.87234042553192,3443882137,3443882137,25,"False",1,1,48,48,48.
5.,13923,20771416,"alex_kasycky",2772.89,5,"Y",27661.81,10,1396,1510,340,376,1,"N",13,16,9,100,0,91.74311926605505,3458013896,3458115394,18,"False",5,5,66,55,56.6
5.,13709,20771416,"alex_kasycky",2.69,4,"Y",60.57,87,1272,1173,328,342,1,"N",87,9,86,8,0,8.51063829787234,3443111625,3443508431,9,"False",4,4,52,54,52.75
5.,13923,21162075,"cwilkes",2356.05,2,"Y",24092.96,82,1218,1166,352,321,1,"N",84,7,81,28,0,25.688073394495415,3457845703,3457862720,8,"False",2,2,280,289,284.5
5.,13709,21162075,"cwilkes",27.51,3,"Y",484.96,56,1347,1320,385,303,1,"N",55,2,55,39,0,41.48936170212766,3443487286,3443807447,2,"False",3,3,608,372,444.
5.,13923,22504845,"bikol",2612.18,2,"Y",24468.34,80,1346,1253,304,285,1,"N",74,3,79,30,0,27.522935779816514,3458293205,3458318331,3,"False",2,2,271,270,270.5
5.,12204,22504845,"bikol",37.58,5,"Y",365.15,39,1308,1346,385,304,1,"N",39,2,38,36,0,48.64864864864865,3427102805,3427476708,2,"False",5,5,201,416,279.
5.,13923,22635428,"tstan436",2762.2,3,"Y",27570.59,38,1313,1356,237,228,1,"N",48,18,37,72,0,66.05504587155964,3457891423,3458409110,16,"False",3,3,81,93,87.33333333333333
5.,12204,22635428,"tstan436",37.07,6,"Y",347.94,41,1214,1243,256,235,1,"N",40,15,40,34,0,45.94594594594595,3426959799,3427630651,13,"False",6,6,73,72,80.
5.,13923,22640357,"AlMag",2760.25,44,"Y",27083.4,66,969,1017,276,250,1,"N",50,5,65,44,0,40.36697247706422,3457677642,3458389453,4,"False",44,42,113,93,91.88095238095238
5.,12204,22640357,"AlMag",12.85,4,"Y",125.05,58,928,969,317,276,1,"N",56,4,57,17,0,22.972972972972975,3427165712,3427252225,3,"False",4,4,123,126,125.75
5.,13923,22656472,"walkerboh",2768.58,3,"Y",27615.85,36,1629,1621,229,206,1,"N",43,23,35,74,0,67.88990825688074,3458146999,3458423590,24,"False",3,3,160,231,207.
5.,12204,22656472,"walkerboh",82.59,5,"Y",815.78,9,1708,1767,278,274,1,"N",8,16,8,66,0,89.1891891891892,3426885980,3427593467,17,"False",5,5,133,287,207.4
5.,13709,22656472,"walkerboh",53.31,2,"Y",1025.49,35,1710,1673,244,230,1,"N",33,19,34,60,0,63.829787234042556,3443130563,3443559180,20,"False",2,2,70,102,86.
5.,13923,22657314,"AlexanderL",2774.55,2,"Y",27648.62,21,2034,2033,600,540,1,"N",7,16,20,89,0,81.65137614678899,3457396782,3458467363,19,"False",2,2,100,294,197.
5.,13709,22657314,"AlexanderL",80.78,4,"Y",1567.47,12,1789,1831,370,337,1,"N",14,12,11,83,0,88.29787234042553,3443663490,3443933947,15,"False",4,4,28,106,61.75
5.,13923,22675206,"edunov",1831.08,2,"Y",19956.92,96,1456,1326,293,364,1,"N",97,15,95,14,0,12.844036697247708,3457350346,3457350346,16,"False",1,1,112,112,112.
5.,13709,22675206,"edunov",44.18,6,"Y",796.56,43,1607,1570,231,217,1,"N",42,13,42,52,0,55.319148936170215,3443362077,3443534509,14,"False",6,6,128,204,161.33333333333334
5.,13923,22679947,"carlos.guia",2763.47,8,"Y",27410.32,56,1038,1100,357,317,1,"N",47,4,55,54,0,49.54128440366973,3457936467,3458452511,4,"False",8,8,161,555,280.75
5.,14455,22679947,"carlos.guia",77.37,18,"Y",772.24,4,1028,1265,297,485,1,"N",4,6,3,42,0,93.33333333333333,3501557830,3502332850,6,"False",18,18,71,254,142.83333333333334
5.,13923,22694152,"rugila",2770.69,2,"Y",27643.74,27,1535,1569,216,204,1,"N",31,17,26,83,0,76.14678899082568,3458450666,3458461880,18,"False",2,2,79,88,83.5
5.,13709,22694152,"rugila",81.5,4,"Y",1568.7,11,1478,1573,150,223,1,"N",11,11,10,84,0,89.36170212765957,3442949896,3443814370,12,"False",4,4,37,92,55.
5.,13923,22694284,"Santyor",2126.62,3,"Y",21540.92,90,1048,1004,305,277,1,"N",88,7,89,20,0,18.34862385321101,3458066520,3458204683,7,"False",2,2,101,123,112.
5.,12204,22694284,"Santyor",13.86,1,"Y",149.3,53,1013,1048,345,305,1,"N",54,6,52,22,0,29.72972972972973,3427520723,3427520723,6,"False",1,1,182,182,182.
5.,13923,22694931,"quimey",2747.62,1,"Y",27494.11,49,1769,1700,201,223,1,"N",62,15,48,61,0,55.96330275229357,3458062567,3458062567,18,"False",1,1,339,339,339.
5.,13709,22694931,"quimey",84.57,5,"Y",1632.09,10,1670,1745,313,308,1,"N",9,9,9,85,0,90.42553191489363,3443716541,3443892769,10,"False",5,5,126,107,121.4
5.,13923,22715204,"anoopsabir",2758.57,9,"Y",27520.98,44,932,1034,221,280,1,"N",51,15,43,66,0,60.550458715596335,3458107680,3458475663,13,"False",9,8,57,2,42.375
5.,12204,22715204,"anoopsabir",4.91,2,"Y",80.78,69,942,942,276,239,1,"N",71,6,68,6,0,8.108108108108109,3427512442,3427631574,5,"False",2,2,36,139,87.5
5.,13709,22715204,"anoopsabir",10.06,5,"Y",189.35,76,859,891,220,204,1,"N",76,11,75,19,0,20.212765957446805,3443599970,3443958660,8,"False",5,4,14,"",22.75
5.,13923,22744421,"tomerun",2774.62,9,"Y",27668.14,5,1993,2053,363,338,1,"N",6,8,4,105,0,96.3302752293578,3457497259,3458480392,8,"False",9,9,117,201,156.77777777777777
5.,13709,22744421,"tomerun",60.33,14,"Y",1170.19,25,1336,1430,317,295,1,"N",27,2,24,70,0,74.46808510638297,3442937199,3443965018,2,"False",14,14,58,122,100.
5.,13923,22748650,"marco.fago",2770.75,6,"Y",27643.17,28,1693,1699,289,253,1,"N",30,8,27,82,0,75.22935779816514,3458215284,3458468147,8,"False",6,6,104,119,117.66666666666667
5.,13709,22748650,"marco.fago",48.61,15,"Y",938.07,38,1328,1372,333,282,1,"N",39,3,37,57,0,60.63829787234043,3443421034,3443954846,3,"False",15,15,38,46,36.333333333333336
5.,13923,22754587,"Eugene001",2769.45,1,"Y",27627.1,32,1604,1611,232,204,1,"N",39,8,31,78,0,71.55963302752293,3457639159,3457639159,8,"False",1,1,99,99,99.
5.,13709,22754587,"Eugene001",66.06,9,"Y",1313.72,19,1303,1437,364,358,1,"N",21,3,18,76,0,80.85106382978722,3442950890,3443726336,3,"False",9,9,22,142,84.
5.,13923,22826277,"lzaworski",2737.73,56,"Y",27162.5,65,1572,1452,385,336,1,"N",64,2,64,45,0,41.284403669724774,3457803280,3458480030,2,"False",56,56,155,123,122.33928571428571
5.,14455,22826277,"lzaworski",50.37,3,"Y",492.58,21,1574,1541,264,242,1,"N",20,12,20,25,0,55.55555555555556,3501613456,3502081525,14,"False",3,3,110,150,131.33333333333334
6.,16887,141650,"id",66723.18,1,"Y",78873.32,69,454,495,267,255,1,"N",69,49,68,1,2,1.4492753623188406,3697481452,3697481452,37,"False",1,1,6,6,6.
6.,16702,141650,"id",190503.73,1,"Y",180362.92,112,371,415,338,317,1,"N",107,43,111,6,3,5.128205128205128,3668958028,3668958028,32,"False",1,1,7,7,7.
6.,16704,141650,"id",0,1,"Y",0,92,347,335,286,259,1,"N",92,46,"","","","","","","","","","","","",""
6.,16887,282718,"Rustyoldman",498174.49,8,"Y",505602.02,26,1725,1690,173,172,1,"N",24,37,25,46,0,64.7887323943662,3697692101,3698497486,55,"False",8,8,193,378,350.125
6.,16702,282718,"Rustyoldman",872493,6,"Y",870741.75,29,1726,1749,220,203,1,"N",30,34,28,92,0,76.66666666666667,3669443066,3670119116,52,"False",6,6,198,371,302.3333333333333
6.,16704,282718,"Rustyoldman",915781.6,5,"Y",927776.99,45,1752,1725,183,173,1,"N",46,36,44,46,0,51.11111111111111,3676553147,3676786586,54,"False",5,5,318,580,481.8
6.,16887,7213681,"wleite",513862.47,13,"Y",523813.14,7,2650,2609,309,300,1,"N",7,117,6,65,0,91.54929577464789,3697463151,3698609519,140,"False",13,13,37,108,69.46153846153847
6.,13768,7213681,"wleite",83.91,18,"Y",833.98,5,2487,2531,248,244,1,"Y",6,35,4,86,0,95.55555555555556,3446989669,3448147232,38,"False",18,18,1,259,168.94444444444446
6.,16702,7213681,"wleite",988391.04,29,"Y",986739.39,3,2455,2512,360,352,1,"N",3,108,2,118,0,98.33333333333333,3668968885,3670152369,124,"False",29,29,31,280,219.
6.,16704,7213681,"wleite",998162.07,12,"Y",997785.37,6,2460,2492,345,322,1,"N",7,112,5,85,0,94.44444444444444,3675626907,3676329359,128,"False",12,12,42,303,196.91666666666666
6.,16887,13274356,"kishore_g84",464419.61,7,"Y",481382.73,42,1369,1339,177,172,1,"N",41,65,41,30,0,42.25352112676056,3697514383,3698034356,73,"False",7,7,27,64,40.857142857142854
6.,16702,13274356,"kishore_g84",586534.07,8,"Y",590329.2,68,1458,1429,233,219,1,"N",70,60,67,53,0,44.166666666666664,3669219955,3670118703,68,"False",8,8,33,55,62.75
6.,16704,13274356,"kishore_g84",797254.29,12,"Y",783692.65,66,1438,1410,198,188,1,"N",68,62,65,25,0,27.77777777777778,3675776568,3676607663,70,"False",12,12,59,211,150.08333333333334
6.,16887,14883513,"ZLATKO",116358.28,4,"Y",130122.86,67,1030,984,291,279,1,"N",67,58,66,5,0,7.042253521126761,3697917785,3698569455,72,"False",4,4,99,135,114.75
6.,16702,14883513,"ZLATKO",183422.27,1,"Y",182249.01,107,1086,1030,296,291,1,"N",114,57,106,10,4,8.620689655172415,3670134240,3670134240,71,"False",1,1,47,47,47.
6.,16887,16017427,"gorbunov",511708.46,13,"Y",521527.37,8,1732,1809,319,327,1,"N",8,35,7,64,0,90.14084507042254,3697450014,3698068931,36,"False",13,13,68,117,105.
6.,16702,16017427,"gorbunov",942060.06,11,"Y",939085.83,12,1693,1794,356,380,1,"N",12,28,11,109,0,90.83333333333333,3669039813,3670158497,28,"False",11,11,69,207,187.72727272727272
6.,16704,16017427,"gorbunov",988371.27,10,"Y",982949.79,25,1892,1910,341,308,1,"N",24,31,24,66,0,73.33333333333333,3676110283,3676702920,31,"False",10,10,70,201,176.2
6.,16887,19740398,"TrePe",489048.41,4,"Y",499626.43,32,1690,1643,228,226,1,"N",34,32,31,40,0,56.33802816901409,3698458491,3698557958,33,"False",4,4,39,78,58.5
6.,13768,19740398,"TrePe",32.33,8,"Y",320.28,61,1556,1574,269,242,1,"N",62,15,60,30,0,33.33333333333333,3447137939,3447932753,15,"False",8,8,2,175,105.875
6.,16887,20315020,"nika",514575.75,13,"Y",524403.82,3,2412,2450,338,317,1,"N",2,31,2,69,0,97.1830985915493,3697660770,3698617747,32,"False",13,13,75,150,121.6923076923077
6.,16702,20315020,"nika",982516.61,18,"Y",983474.65,4,2143,2234,373,390,1,"N",4,27,3,117,0,97.5,3669039782,3670160158,27,"False",17,17,65,243,181.8235294117647
6.,16704,20315020,"nika",999063.13,20,"Y",999163.28,3,2248,2354,355,394,1,"N",4,29,2,88,0,97.77777777777777,3675712589,3676805557,29,"False",20,20,103,238,197.55
6.,16887,20555484,"chren",345969.39,1,"Y",363162.98,62,1230,1154,282,289,1,"N",64,13,61,10,0,14.084507042253522,3698089953,3698089953,18,"False",1,1,81,81,81.
6.,16702,20555484,"chren",449707.47,1,"Y",438157.94,83,1264,1230,310,282,1,"N",83,12,82,38,0,31.666666666666664,3669142890,3669142890,17,"False",1,1,82,82,82.
6.,16887,21688563,"H_a_s_h",514314.01,9,"Y",523970.02,6,1747,1855,398,412,1,"N",5,15,5,66,0,92.95774647887323,3697553521,3698604418,19,"False",9,9,33,411,138.55555555555554
6.,16702,21688563,"H_a_s_h",863226.79,2,"Y",859063.01,34,1903,1887,368,328,1,"N",32,13,33,87,0,72.5,3669121664,3669135389,17,"False",2,2,75,85,80.
6.,16887,22389733,"tloinuy",498125.34,1,"Y",508701.5,23,1976,1923,327,314,1,"N",25,41,22,49,0,69.01408450704226,3697986671,3697986671,43,"False",1,1,114,114,114.
6.,16702,22389733,"tloinuy",674084.18,2,"Y",671923.93,60,2099,1991,305,362,1,"N",59,39,59,61,0,50.83333333333333,3670115706,3670151821,41,"False",2,2,103,104,103.5
6.,16887,22653720,"ainu7",514512.54,6,"Y",524431.13,2,2780,2789,291,267,1,"N",3,32,1,70,0,98.59154929577466,3697537798,3698611660,33,"False",6,6,6,138,99.5
6.,16704,22653720,"ainu7",999141.51,16,"Y",999048.25,4,2774,2780,317,291,1,"N",3,31,3,87,0,96.66666666666667,3676029874,3676813196,32,"False",16,16,70,319,200.125
6.,16887,22673613,"przemek.nowicki",489997.83,4,"Y",499136.82,33,1373,1382,234,211,1,"N",32,34,32,39,0,54.929577464788736,3698369239,3698569401,36,"False",3,3,161,172,165.
6.,16702,22673613,"przemek.nowicki",725126.68,5,"Y",733155.57,53,1396,1414,286,260,1,"N",54,31,52,68,0,56.666666666666664,3670002979,3670152679,33,"False",5,5,80,104,96.2
6.,16704,22673613,"przemek.nowicki",735677.48,2,"Y",726422.36,72,1424,1373,234,234,1,"N",72,33,71,19,0,21.11111111111111,3676769849,3676807292,35,"False",2,2,129,162,145.5
6.,16887,22727735,"ika",514279.97,6,"Y",524109.28,5,2167,2202,263,250,1,"N",6,33,4,67,0,94.36619718309859,3697823330,3698625551,35,"False",6,6,75,86,88.66666666666667
6.,13768,22727735,"ika",64.55,15,"Y",640.85,23,2321,2317,387,347,1,"N",22,12,22,68,0,75.55555555555556,3447401940,3448173793,12,"False",15,15,1,284,246.26666666666668
6.,16704,22727735,"ika",996447.78,10,"Y",994351.65,13,2140,2167,283,263,1,"N",12,32,12,78,0,86.66666666666667,3675769101,3676811415,34,"False",10,10,82,214,203.2
6.,16887,22729239,"yowa",510878.59,9,"Y",520538.42,9,1866,1920,460,429,1,"N",9,46,8,63,0,88.73239436619718,3697418175,3698387018,51,"False",9,9,59,233,161.
6.,16702,22729239,"yowa",621777.77,7,"Y",627281.34,63,1602,1564,552,503,1,"N",63,40,62,58,0,48.333333333333336,3668962452,3669208552,45,"False",7,7,29,202,119.42857142857143
6.,16704,22729239,"yowa",992554.34,15,"Y",992703.1,15,1546,1666,423,454,1,"N",18,43,14,76,0,84.44444444444444,3675612429,3676776455,48,"False",15,15,54,359,243.33333333333334
6.,16887,22739971,"imazato",509862.83,9,"Y",519473.24,10,2460,2408,258,258,1,"N",10,23,9,62,0,87.32394366197182,3697453190,3698588077,27,"False",9,9,109,376,333.44444444444446
6.,16702,22739971,"imazato",989150.13,23,"Y",992333.9,2,2374,2466,299,331,1,"N",2,20,1,119,0,99.16666666666667,3669370688,3670149059,23,"False",23,23,273,528,445.39130434782606
6.,16704,22739971,"imazato",997385.63,15,"Y",996655.21,10,2498,2490,306,277,1,"N",8,22,9,81,0,90.,3675625008,3676812917,25,"False",15,15,192,480,406.
